conversation_id	article_id	speaker_id	split	essay_id	llm_empathy
2	35	30	train	1	6.833333333
3	35	19	train	2	6.2
5	35	17	train	4	6.5
6	213	16	train	5	6.5
8	213	30	train	7	4.2
10	213	49	train	9	2.3
11	78	17	train	10	6.5
13	78	24	train	12	2
14	78	43	train	13	6.2
17	336	31	train	16	
18	336	40	train	17	6.5
19	336	13	train	18	4.2
21	281	24	train	20	6.2
22	281	37	train	21	6.5
24	281	20	train	23	6.2
25	281	17	train	24	6.5
27	171	44	train	26	6.5
30	171	24	train	29	6.5
31	386	45	train	30	6.5
32	386	44	train	31	6.5
33	386	33	train	32	6.5
35	386	30	train	34	6.5
36	58	45	train	35	6.5
37	58	48	train	36	1.2
38	58	25	train	37	5.666666667
39	58	13	train	38	6.5
40	58	16	train	39	6.2
41	289	44	train	40	6.5
42	289	56	train	41	6.2
43	289	30	train	42	6.2
46	210	45	train	45	6.5
47	210	57	train	46	6.5
48	210	23	train	47	6.2
49	210	33	train	48	1.2
50	210	17	train	49	6.5
51	49	5	train	50	6.2
53	49	48	train	52	1.5
54	49	25	train	53	6.2
55	49	17	train	54	6.5
56	72	24	train	55	4.2
58	72	44	train	57	6.5
60	72	24	train	59	6.2
61	150	24	train	60	3.5
62	150	27	train	61	4.2
63	150	55	train	62	4.2
64	150	25	train	63	3.5
65	150	24	train	64	4.5
66	138	27	train	65	6.5
69	138	44	train	68	6.5
70	138	19	train	69	6.2
71	3	5	train	70	6.5
73	3	19	train	72	6.2
74	3	31	train	73	
75	3	24	train	74	6.5
76	169	2	train	75	3.2
77	169	5	train	76	6.5
78	169	7	train	77	6.5
79	169	30	train	78	4.2
80	169	53	train	79	4.2
81	353	17	train	80	6.2
83	353	25	train	82	6.5
85	353	17	train	84	6.5
88	304	19	train	87	6.5
89	304	35	train	88	4.2
90	304	48	train	89	1.2
91	233	25	train	90	6.5
94	233	35	train	93	4.2
95	233	2	train	94	6.2
97	57	40	train	96	6.5
98	57	5	train	97	6.5
99	57	25	train	98	6.2
100	57	16	train	99	6.2
102	67	32	train	101	6.2
103	67	30	train	102	6.2
105	67	25	train	104	6.5
107	134	25	train	106	6.5
108	134	19	train	107	4.2
109	134	40	train	108	6.5
110	134	53	train	109	6.2
111	45	48	train	110	1
112	45	40	train	111	6.5
113	45	5	train	112	6.5
114	45	7	train	113	6.5
116	9	5	train	115	6.5
117	9	19	train	116	6.2
118	9	25	train	117	4.2
119	9	32	train	118	6.5
120	9	2	train	119	6.2
122	6	19	train	121	6.5
124	6	48	train	123	1.2
126	314	17	train	125	6.5
128	314	5	train	127	6.5
129	314	19	train	128	6.2
131	73	5	train	130	1.5
132	73	30	train	131	3.2
134	73	19	train	133	3.2
136	99	17	train	135	6.2
138	99	5	train	137	1
139	99	30	train	138	3.2
140	99	2	train	139	1.2
141	94	40	train	140	4.2
142	94	18	train	141	6.2
145	94	53	train	144	4.2
147	147	25	train	146	6.9
148	147	5	train	147	6.5
149	147	19	train	148	6.2
152	125	17	train	151	6.2
153	125	2	train	152	6.2
154	125	49	train	153	1.2
155	125	17	train	154	6.2
156	302	14	train	155	3.2
157	302	46	train	156	4.2
158	302	5	train	157	6.2
160	302	16	train	159	4.2
161	375	17	train	160	6.5
162	375	2	train	161	6.2
163	375	46	train	162	6.5
165	375	30	train	164	6.5
167	228	2	train	166	3.2
168	228	5	train	167	6.5
169	228	49	train	168	6.2
170	228	35	train	169	6.5
171	400	24	train	170	6.2
172	400	25	train	171	6.5
174	400	19	train	173	6.2
176	283	19	train	175	6.5
177	283	48	train	176	1
179	283	17	train	178	6.5
181	305	24	train	180	6.2
182	305	25	train	181	6.5
183	305	5	train	182	6.5
184	305	35	train	183	4.2
185	305	25	train	184	6.2
186	299	24	train	185	6.5
187	299	48	train	186	1.2
188	299	44	train	187	6.5
189	299	51	train	188	4.2
190	299	17	train	189	6.5
191	313	44	train	190	4.2
192	313	30	train	191	6.5
193	313	19	train	192	4.2
195	313	19	train	194	3.5
196	398	24	train	195	6.2
197	398	30	train	196	4.2
198	398	22	train	197	4.2
199	398	36	train	198	4.2
200	398	53	train	199	6.2
202	31	48	train	201	3.2
203	31	19	train	202	6.5
205	31	22	train	204	6.2
206	201	7	train	205	6.5
207	201	48	train	206	1.2
208	201	22	train	207	6.5
209	201	51	train	208	6.2
211	273	49	train	210	3.5
212	273	19	train	211	6.5
213	273	15	train	212	3.2
214	273	33	train	213	1.2
216	247	22	train	215	6.2
217	247	30	train	216	6.2
218	247	14	train	217	4.2
221	417	22	train	220	4.2
222	417	24	train	221	1.5
223	417	30	train	222	3.2
224	417	41	train	223	4.2
225	417	24	train	224	3.2
226	139	48	train	225	1.2
227	139	23	train	226	6.2
228	139	30	train	227	4.2
229	139	57	train	228	6.2
231	128	30	train	230	6.5
232	128	24	train	231	1.2
233	128	57	train	232	3.2
235	128	19	train	234	6.2
236	245	48	train	235	4.2
237	245	25	train	236	6.5
238	245	24	train	237	6.2
239	245	19	train	238	6.2
240	245	24	train	239	6.2
241	19	3	train	240	6.5
242	19	19	train	241	6.5
243	19	48	train	242	1.2
244	19	57	train	243	6.5
245	19	17	train	244	6.5
246	177	7	train	245	4.2
247	177	19	train	246	4.2
248	177	48	train	247	1.2
249	177	19	train	248	4.2
251	413	24	train	250	3.2
252	413	23	train	251	6.5
253	413	57	train	252	6.5
254	413	25	train	253	6.5
255	413	48	train	254	6.2
256	174	19	train	255	4.2
257	174	24	train	256	4.2
258	174	30	train	257	6.5
259	174	23	train	258	6.9
260	174	7	train	259	6.5
261	34	24	train	260	3.5
262	34	7	train	261	6.5
263	34	30	train	262	6.5
264	34	17	train	263	6.5
265	34	57	train	264	6.5
266	47	46	train	265	6.2
267	47	7	train	266	6.5
268	47	48	train	267	1.2
269	47	25	train	268	6.9
271	146	25	train	270	4.2
272	146	24	train	271	3.2
273	146	19	train	272	6.2
274	146	7	train	273	6.5
275	146	17	train	274	6.5
276	370	57	train	275	6.5
277	370	48	train	276	3.2
279	370	25	train	278	6.5
280	370	19	train	279	6.5
281	202	7	train	280	6.2
282	202	13	train	281	6.9
283	202	25	train	282	4.2
284	202	17	train	283	6.5
285	202	53	train	284	6.5
286	71	23	train	285	6.5
287	71	50	train	286	6.5
288	71	30	train	287	4.2
289	71	49	train	288	4.2
290	71	53	train	289	4.2
291	242	24	train	290	6.2
292	242	23	train	291	6.5
293	242	30	train	292	6.5
294	242	49	train	293	3.2
296	339	48	train	295	1.2
297	339	24	train	296	3.5
299	339	17	train	298	6.5
300	339	19	train	299	6.5
301	347	19	train	300	6.5
304	347	33	train	303	1
305	347	24	train	304	6.5
306	48	19	train	305	6.5
307	48	53	train	306	6.5
308	48	38	train	307	6.5
311	291	24	train	310	4.2
313	291	8	train	312	6.5
314	291	19	train	313	6.2
315	291	53	train	314	6.2
316	39	24	train	315	2.3
317	39	57	train	316	4.2
318	39	17	train	317	6.5
319	39	46	train	318	1.2
321	52	19	train	320	6.2
322	52	24	train	321	1.5
323	52	46	train	322	6.2
324	52	48	train	323	4.2
325	52	26	train	324	
326	89	24	train	325	6.5
327	89	25	train	326	3.2
329	89	46	train	328	3.2
330	89	53	train	329	4.2
331	148	7	train	330	6.5
332	148	50	train	331	6.5
333	148	53	train	332	6.2
334	148	6	train	333	6.5
335	148	24	train	334	6.5
336	223	33	train	335	6.5
337	223	13	train	336	6.9
338	223	6	train	337	4.2
339	223	53	train	338	6.2
340	223	19	train	339	4.2
341	186	8	train	340	6.5
342	186	33	train	341	1.2
344	186	53	train	343	4.2
345	186	53	train	344	6.2
346	113	30	train	345	3.2
347	113	53	train	346	4.2
348	113	25	train	347	3.2
350	113	30	train	349	3.2
351	116	33	train	350	1.2
353	116	53	train	352	6.2
354	116	33	train	353	3.2
355	116	30	train	354	6.2
356	44	19	train	355	6.2
357	44	25	train	356	3.2
358	44	34	train	357	6.2
359	44	33	train	358	6.2
360	44	52	train	359	4.2
362	163	19	train	361	6.5
363	163	19	train	362	4.2
364	163	33	train	363	1.2
365	163	30	train	364	6.2
366	80	13	train	365	4.2
368	80	25	train	367	6.5
369	80	33	train	368	1.2
370	80	17	train	369	6.2
371	367	19	train	370	6.2
372	367	30	train	371	6.5
373	367	23	train	372	6.2
374	367	24	train	373	4.2
375	367	25	train	374	6.5
377	91	25	train	376	6.5
378	91	20	train	377	7
379	91	53	train	378	6.2
380	91	17	train	379	4.2
382	23	30	train	381	6.5
383	23	48	train	382	1.2
384	23	53	train	383	6.2
385	23	24	train	384	6.2
386	66	6	train	385	6.2
388	66	33	train	387	4.2
389	66	19	train	388	6.2
390	66	17	train	389	4.2
392	270	17	train	391	6.5
393	270	13	train	392	6.2
394	270	8	train	393	4.2
395	270	53	train	394	6.5
397	368	53	train	396	6.5
398	368	24	train	397	4.2
399	368	8	train	398	6.5
401	92	24	train	400	6.5
402	92	25	train	401	3.2
405	92	24	train	404	6.9
407	331	53	train	406	6.2
408	331	25	train	407	4.2
