conversation_id	article_id	speaker_id	split	essay_id	llm_empathy
2	35	30	train	1	6.133333333
3	35	19	train	2	5.25
5	35	17	train	4	5.916666667
6	213	16	train	5	5.166666667
8	213	30	train	7	1.916666667
10	213	49	train	9	5
11	78	17	train	10	5.466666667
13	78	24	train	12	3.75
14	78	43	train	13	5.316666667
17	336	31	train	16	5.25
18	336	40	train	17	5.166666667
19	336	13	train	18	2.416666667
21	281	24	train	20	5.083333333
22	281	37	train	21	6.15
24	281	20	train	23	5.466666667
25	281	17	train	24	5.316666667
27	171	44	train	26	5.316666667
30	171	24	train	29	4.75
31	386	45	train	30	5.316666667
32	386	44	train	31	5.75
33	386	33	train	32	5.016666667
35	386	30	train	34	5.316666667
36	58	45	train	35	4.866666667
37	58	48	train	36	1
38	58	25	train	37	5.7
39	58	13	train	38	5.633333333
40	58	16	train	39	5.916666667
41	289	44	train	40	5.633333333
42	289	56	train	41	4.75
43	289	30	train	42	2.75
46	210	45	train	45	4.583333333
47	210	57	train	46	5.316666667
48	210	23	train	47	5.316666667
49	210	33	train	48	1
50	210	17	train	49	4.15
51	49	5	train	50	1.75
53	49	48	train	52	1
54	49	25	train	53	4.166666667
55	49	17	train	54	5.25
56	72	24	train	55	2.583333333
58	72	44	train	57	3.5
60	72	24	train	59	5.416666667
61	150	24	train	60	2.583333333
62	150	27	train	61	4.75
63	150	55	train	62	1.75
64	150	25	train	63	1.25
65	150	24	train	64	5
66	138	27	train	65	5.633333333
69	138	44	train	68	5.166666667
70	138	19	train	69	3.25
71	3	5	train	70	5.166666667
73	3	19	train	72	4.15
74	3	31	train	73	4.583333333
75	3	24	train	74	6.316666667
76	169	2	train	75	1.583333333
77	169	5	train	76	4.583333333
78	169	7	train	77	4.75
79	169	30	train	78	4.416666667
80	169	53	train	79	5.75
81	353	17	train	80	5.016666667
83	353	25	train	82	5.316666667
85	353	17	train	84	5.633333333
88	304	19	train	87	5.316666667
89	304	35	train	88	1.833333333
90	304	48	train	89	1
91	233	25	train	90	5
94	233	35	train	93	2.216666667
95	233	2	train	94	5.25
97	57	40	train	96	5.916666667
98	57	5	train	97	5.166666667
99	57	25	train	98	5.016666667
100	57	16	train	99	5.416666667
102	67	32	train	101	4.583333333
103	67	30	train	102	5.316666667
105	67	25	train	104	5.25
107	134	25	train	106	5.583333333
108	134	19	train	107	1.916666667
109	134	40	train	108	5.316666667
110	134	53	train	109	6.1
111	45	48	train	110	1
112	45	40	train	111	5.316666667
113	45	5	train	112	4.716666667
114	45	7	train	113	5.633333333
116	9	5	train	115	4.15
117	9	19	train	116	1.583333333
118	9	25	train	117	1.25
119	9	32	train	118	6.15
120	9	2	train	119	4.416666667
122	6	19	train	121	5.25
124	6	48	train	123	1
126	314	17	train	125	5.633333333
128	314	5	train	127	5.166666667
129	314	19	train	128	4.583333333
131	73	5	train	130	3.583333333
132	73	30	train	131	2.75
134	73	19	train	133	1.916666667
136	99	17	train	135	4.583333333
138	99	5	train	137	1
139	99	30	train	138	1.75
140	99	2	train	139	1
141	94	40	train	140	1.916666667
142	94	18	train	141	5.766666667
145	94	53	train	144	4.416666667
147	147	25	train	146	5.616666667
148	147	5	train	147	5.316666667
149	147	19	train	148	3.5
152	125	17	train	151	4.15
153	125	2	train	152	5.166666667
154	125	49	train	153	1.75
155	125	17	train	154	5.3
156	302	14	train	155	1.916666667
157	302	46	train	156	2.833333333
158	302	5	train	157	2.333333333
160	302	16	train	159	2.15
161	375	17	train	160	5.25
162	375	2	train	161	2.916666667
163	375	46	train	162	4.716666667
165	375	30	train	164	4.416666667
167	228	2	train	166	1.75
168	228	5	train	167	4.75
169	228	49	train	168	4.416666667
170	228	35	train	169	5.316666667
171	400	24	train	170	4.75
172	400	25	train	171	5.333333333
174	400	19	train	173	4.583333333
176	283	19	train	175	2.583333333
177	283	48	train	176	1
179	283	17	train	178	2.083333333
181	305	24	train	180	4.166666667
182	305	25	train	181	5.483333333
183	305	5	train	182	4.75
184	305	35	train	183	2.166666667
185	305	25	train	184	2.583333333
186	299	24	train	185	5.216666667
187	299	48	train	186	1
188	299	44	train	187	4.416666667
189	299	51	train	188	1.833333333
190	299	17	train	189	5.25
191	313	44	train	190	2.583333333
192	313	30	train	191	6.15
193	313	19	train	192	3.416666667
195	313	19	train	194	2.3
196	398	24	train	195	4.15
197	398	30	train	196	3.233333333
198	398	22	train	197	4.916666667
199	398	36	train	198	2.083333333
200	398	53	train	199	4.25
202	31	48	train	201	1.833333333
203	31	19	train	202	5.116666667
205	31	22	train	204	5.466666667
206	201	7	train	205	2.916666667
207	201	48	train	206	1
208	201	22	train	207	4.833333333
209	201	51	train	208	4.15
211	273	49	train	210	2.583333333
212	273	19	train	211	5.383333333
213	273	15	train	212	1
214	273	33	train	213	1
216	247	22	train	215	5.316666667
217	247	30	train	216	4.583333333
218	247	14	train	217	2.133333333
221	417	22	train	220	1.833333333
222	417	24	train	221	1
223	417	30	train	222	2.166666667
224	417	41	train	223	4.833333333
225	417	24	train	224	1
226	139	48	train	225	1
227	139	23	train	226	4.166666667
228	139	30	train	227	1.25
229	139	57	train	228	3.583333333
231	128	30	train	230	5.016666667
232	128	24	train	231	1
233	128	57	train	232	1.833333333
235	128	19	train	234	1.833333333
236	245	48	train	235	5.016666667
237	245	25	train	236	5.566666667
238	245	24	train	237	5.466666667
239	245	19	train	238	4.866666667
240	245	24	train	239	5.466666667
241	19	3	train	240	5.166666667
242	19	19	train	241	5.25
243	19	48	train	242	1
244	19	57	train	243	5.416666667
245	19	17	train	244	5.316666667
246	177	7	train	245	2.416666667
247	177	19	train	246	1.916666667
248	177	48	train	247	1.333333333
249	177	19	train	248	1.916666667
251	413	24	train	250	3.916666667
252	413	23	train	251	5.166666667
253	413	57	train	252	6.083333333
254	413	25	train	253	5.166666667
255	413	48	train	254	4.583333333
256	174	19	train	255	3.5
257	174	24	train	256	2.583333333
258	174	30	train	257	5.633333333
259	174	23	train	258	5.733333333
260	174	7	train	259	4.75
261	34	24	train	260	2.916666667
262	34	7	train	261	5.316666667
263	34	30	train	262	5.25
264	34	17	train	263	5.666666667
265	34	57	train	264	5.466666667
266	47	46	train	265	2.983333333
267	47	7	train	266	4.583333333
268	47	48	train	267	1
269	47	25	train	268	5.916666667
271	146	25	train	270	1.75
272	146	24	train	271	1.633333333
273	146	19	train	272	4.25
274	146	7	train	273	4.316666667
275	146	17	train	274	5.25
276	370	57	train	275	6.15
277	370	48	train	276	3.25
279	370	25	train	278	6.316666667
280	370	19	train	279	6.383333333
281	202	7	train	280	4.15
282	202	13	train	281	4.916666667
283	202	25	train	282	2.25
284	202	17	train	283	4.75
285	202	53	train	284	6.266666667
286	71	23	train	285	4.25
287	71	50	train	286	5.25
288	71	30	train	287	2.583333333
289	71	49	train	288	4.866666667
290	71	53	train	289	5.25
291	242	24	train	290	4.75
292	242	23	train	291	5.166666667
293	242	30	train	292	5.316666667
294	242	49	train	293	1
296	339	48	train	295	1
297	339	24	train	296	2.583333333
299	339	17	train	298	5.333333333
300	339	19	train	299	5.5
301	347	19	train	300	5.05
304	347	33	train	303	1
305	347	24	train	304	5.25
306	48	19	train	305	5.916666667
307	48	53	train	306	6.383333333
308	48	38	train	307	6.133333333
311	291	24	train	310	4.833333333
313	291	8	train	312	6.266666667
314	291	19	train	313	2.083333333
315	291	53	train	314	5.766666667
316	39	24	train	315	1.833333333
317	39	57	train	316	3.666666667
318	39	17	train	317	5.75
319	39	46	train	318	1
321	52	19	train	320	5.116666667
322	52	24	train	321	1
323	52	46	train	322	4.866666667
324	52	48	train	323	5
325	52	26	train	324	5.316666667
326	89	24	train	325	4.15
327	89	25	train	326	1
329	89	46	train	328	1.583333333
330	89	53	train	329	4.916666667
331	148	7	train	330	5.416666667
332	148	50	train	331	6.45
333	148	53	train	332	6.4
334	148	6	train	333	6.4
335	148	24	train	334	5.916666667
336	223	33	train	335	5.166666667
337	223	13	train	336	6.4
338	223	6	train	337	1.75
339	223	53	train	338	6.133333333
340	223	19	train	339	2.166666667
341	186	8	train	340	6.133333333
342	186	33	train	341	1
344	186	53	train	343	5.833333333
345	186	53	train	344	5.766666667
346	113	30	train	345	1
347	113	53	train	346	2.583333333
348	113	25	train	347	1.5
350	113	30	train	349	1.916666667
351	116	33	train	350	1
353	116	53	train	352	5.25
354	116	33	train	353	1
355	116	30	train	354	2.416666667
356	44	19	train	355	3.5
357	44	25	train	356	1.833333333
358	44	34	train	357	5.666666667
359	44	33	train	358	3.25
360	44	52	train	359	1.833333333
362	163	19	train	361	4.166666667
363	163	19	train	362	1.833333333
364	163	33	train	363	1
365	163	30	train	364	5.316666667
366	80	13	train	365	2
368	80	25	train	367	5.016666667
369	80	33	train	368	1
370	80	17	train	369	2.166666667
371	367	19	train	370	1.916666667
372	367	30	train	371	4.75
373	367	23	train	372	5.316666667
374	367	24	train	373	4.15
375	367	25	train	374	5.083333333
377	91	25	train	376	5.7
378	91	20	train	377	6
379	91	53	train	378	5.583333333
380	91	17	train	379	2.166666667
382	23	30	train	381	5.316666667
383	23	48	train	382	1
384	23	53	train	383	5.25
385	23	24	train	384	4.583333333
386	66	6	train	385	5.216666667
388	66	33	train	387	2.583333333
389	66	19	train	388	1.583333333
390	66	17	train	389	3.583333333
392	270	17	train	391	5.55
393	270	13	train	392	5.166666667
394	270	8	train	393	2.15
395	270	53	train	394	6.15
397	368	53	train	396	2.916666667
398	368	24	train	397	4.833333333
399	368	8	train	398	4.166666667
401	92	24	train	400	6.133333333
402	92	25	train	401	1.833333333
405	92	24	train	404	6.266666667
407	331	53	train	406	4.316666667
408	331	25	train	407	1.916666667
410	331	8	train	409	5.05
411	112	30	train	410	2.583333333
413	112	25	train	412	2.583333333
414	112	48	train	413	1
415	112	26	train	414	6
416	301	33	train	415	2.166666667
417	301	17	train	416	5.016666667
418	301	57	train	417	5.466666667
419	301	17	train	418	1.916666667
420	301	24	train	419	1
421	133	33	train	420	4.583333333
422	133	17	train	421	4.583333333
424	133	19	train	423	2.166666667
426	397	33	train	425	4.416666667
427	397	53	train	426	6.45
428	397	24	train	427	2.583333333
429	397	30	train	428	1.583333333
430	397	17	train	429	2.083333333
432	13	57	train	431	5.916666667
433	13	30	train	432	5.116666667
434	13	33	train	433	1.583333333
435	13	19	train	434	1.083333333
436	308	17	train	435	1
437	308	43	train	436	2.15
438	308	25	train	437	2.15
439	308	33	train	438	1.666666667
440	308	33	train	439	1.916666667
441	7	33	train	440	1
442	7	13	train	441	4.75
443	7	16	train	442	6.1
444	7	33	train	443	1.583333333
446	11	17	train	445	5.916666667
447	11	24	train	446	4.15
448	11	48	train	447	1
450	11	24	train	449	4.833333333
452	182	25	train	451	1.333333333
453	182	17	train	452	3
454	182	19	train	453	6
457	371	13	train	456	3.5
458	371	48	train	457	1
460	371	53	train	459	5.766666667
461	18	17	train	460	5.633333333
463	18	24	train	462	4.966666667
464	18	30	train	463	4.25
465	18	48	train	464	4.15
466	326	24	train	465	1
467	326	48	train	466	1
468	326	19	train	467	1.583333333
469	326	43	train	468	2.583333333
470	326	48	train	469	1
472	297	53	train	471	5.083333333
473	297	19	train	472	1
474	297	30	train	473	4.15
475	297	43	train	474	5
476	53	9	train	475	2.25
477	53	17	train	476	2.75
479	53	19	train	478	4.333333333
480	53	43	train	479	3.25
481	292	42	train	480	2.166666667
482	292	30	train	481	2.583333333
483	292	30	train	482	3.75
485	292	25	train	484	1
486	395	0	train	485	1.583333333
487	395	8	train	486	5.633333333
488	395	26	train	487	1.333333333
489	395	16	train	488	6.383333333
490	395	25	train	489	1.916666667
491	218	53	train	490	5.566666667
492	218	8	train	491	2.166666667
493	218	30	train	492	3.5
495	218	8	train	494	1
496	103	26	train	495	1
498	103	30	train	497	1.633333333
499	103	24	train	498	1.25
500	103	17	train	499	1
2	35	17	train	501	5.416666667
3	35	16	train	502	5.533333333
5	35	8	train	504	5.233333333
6	213	25	train	505	1.083333333
8	213	43	train	507	2.583333333
10	213	33	train	509	1.833333333
11	78	33	train	510	2.083333333
13	78	53	train	512	5.416666667
14	78	25	train	513	4.866666667
17	336	18	train	516	5.916666667
18	336	58	train	517	2.583333333
19	336	30	train	518	5.016666667
21	281	35	train	520	1
22	281	30	train	521	5.316666667
24	281	40	train	523	5.916666667
25	281	8	train	524	6.083333333
27	171	5	train	526	5.916666667
30	171	25	train	529	5.083333333
31	386	10	train	530	6.133333333
32	386	5	train	531	1.916666667
33	386	19	train	532	4.166666667
35	386	17	train	534	5.666666667
36	58	27	train	535	3
37	58	12	train	536	5.766666667
38	58	33	train	537	5.05
39	58	24	train	538	5.633333333
40	58	17	train	539	5.25
41	289	2	train	540	2.583333333
42	289	29	train	541	2.916666667
43	289	40	train	542	4.583333333
46	210	19	train	545	1.916666667
47	210	30	train	546	4.866666667
48	210	30	train	547	4.866666667
49	210	16	train	548	4.583333333
50	210	19	train	549	1.916666667
51	49	47	train	550	6.15
53	49	7	train	552	5.466666667
54	49	5	train	553	4.15
55	49	13	train	554	2.916666667
56	72	35	train	555	1.916666667
58	72	46	train	557	5.05
60	72	8	train	559	5.633333333
61	150	44	train	560	4.583333333
62	150	2	train	561	1.633333333
63	150	19	train	562	3.5
64	150	10	train	563	1.833333333
65	150	17	train	564	4.75
66	138	19	train	565	4.25
69	138	24	train	568	5.916666667
70	138	8	train	569	6.15
71	3	31	train	570	5.166666667
73	3	30	train	572	5.166666667
74	3	44	train	573	5.166666667
75	3	30	train	574	5.466666667
76	169	25	train	575	5.466666667
77	169	10	train	576	5.916666667
78	169	55	train	577	4.366666667
79	169	31	train	578	1.633333333
80	169	8	train	579	6.4
81	353	24	train	580	6.15
83	353	5	train	582	4.15
85	353	48	train	584	3.85
88	304	24	train	587	5.316666667
89	304	17	train	588	5.166666667
90	304	40	train	589	2.166666667
91	233	5	train	590	5.25
94	233	49	train	593	1.75
95	233	32	train	594	5.75
97	57	19	train	596	1.916666667
98	57	40	train	597	5.333333333
99	57	40	train	598	5.916666667
100	57	8	train	599	4.833333333
102	67	5	train	601	4.15
103	67	40	train	602	5.016666667
105	67	53	train	604	5.916666667
107	134	44	train	606	6.383333333
108	134	32	train	607	3.583333333
109	134	11	train	608	5.316666667
110	134	24	train	609	5.316666667
111	45	30	train	610	4.166666667
112	45	19	train	611	4.15
113	45	17	train	612	5.666666667
114	45	25	train	613	4.15
116	9	44	train	615	4.583333333
117	9	1	train	616	4.666666667
118	9	40	train	617	5.15
119	9	17	train	618	4.866666667
120	9	7	train	619	4.75
122	6	24	train	621	2.583333333
124	6	25	train	623	2.233333333
126	314	40	train	625	5.316666667
128	314	48	train	627	2.166666667
129	314	25	train	628	5.633333333
131	73	32	train	630	1
132	73	17	train	631	4.183333333
134	73	49	train	633	1
136	99	25	train	635	1
138	99	40	train	637	4.583333333
139	99	19	train	638	5.466666667
140	99	32	train	639	1
141	94	48	train	640	1.333333333
142	94	2	train	641	4.416666667
145	94	19	train	644	5.316666667
147	147	40	train	646	5.166666667
148	147	32	train	647	4.416666667
149	147	48	train	648	1
152	125	25	train	651	4.616666667
153	125	19	train	652	5.166666667
154	125	40	train	653	4.916666667
155	125	13	train	654	5.5
156	302	40	train	655	4.15
157	302	1	train	656	2.583333333
158	302	35	train	657	1
160	302	25	train	659	1.833333333
161	375	49	train	660	3.25
162	375	40	train	661	5.25
163	375	35	train	662	2.083333333
165	375	48	train	664	1
167	228	48	train	666	1
168	228	19	train	667	5.716666667
169	228	30	train	668	5.25
170	228	1	train	669	6.4
171	400	48	train	670	1.583333333
172	400	44	train	671	6.316666667
174	400	40	train	673	5.333333333
176	283	24	train	675	3.583333333
177	283	2	train	676	4.166666667
179	283	57	train	678	5.316666667
181	305	44	train	680	5.316666667
182	305	48	train	681	1
183	305	35	train	682	1.833333333
184	305	7	train	683	5.466666667
185	305	57	train	684	5.583333333
186	299	19	train	685	3.966666667
187	299	49	train	686	4.416666667
188	299	35	train	687	4.416666667
189	299	30	train	688	4.25
190	299	24	train	689	5.016666667
191	313	4	train	690	2.583333333
192	313	50	train	691	5.25
193	313	36	train	692	5.316666667
195	313	33	train	694	1
196	398	48	train	695	1.5
197	398	50	train	696	5.466666667
